iter	Passed	Remaining
0	1	143
1	2	132
2	3	124
3	4	115
4	6	114
5	7	113
6	8	112
7	9	109
8	10	108
9	11	106
10	12	105
11	14	103
12	15	101
13	16	100
14	17	98
15	18	96
16	19	95
17	20	93
18	21	91
19	22	90
20	23	88
21	24	86
22	25	85
23	26	83
24	27	81
25	28	80
26	29	78
27	30	77
28	31	75
29	31	74
30	32	73
31	33	72
32	34	70
33	35	69
34	36	68
35	37	67
36	38	65
37	39	64
38	40	63
39	41	62
40	42	61
41	42	59
42	43	57
43	44	56
44	45	55
45	46	54
46	47	53
47	48	52
48	49	51
49	50	50
50	50	48
51	51	47
52	52	46
53	53	45
54	54	44
55	55	43
56	56	42
57	57	41
58	58	40
59	59	39
60	60	38
61	60	37
62	61	36
63	62	35
64	63	34
65	64	33
66	65	32
67	66	31
68	67	30
69	68	29
70	69	28
71	69	27
72	70	26
73	71	25
74	72	24
75	73	23
76	74	22
77	75	21
78	76	20
79	77	19
80	78	18
81	79	17
82	80	16
83	81	15
84	82	14
85	83	13
86	84	12
87	85	11
88	86	10
89	87	9
90	88	8
91	89	7
92	89	6
93	90	5
94	91	4
95	92	3
96	93	2
97	94	1
98	95	0
99	96	0
