iter	Passed	Remaining
0	80	80509
1	81	40518
2	81	27172
3	82	20479
4	82	16469
5	83	13791
6	83	11887
7	84	10456
8	84	9337
9	85	8443
10	85	7711
11	86	7109
12	86	6602
13	87	6160
14	87	5776
15	88	5437
16	88	5137
17	89	4872
18	89	4635
19	90	4423
20	90	4232
21	91	4058
22	91	3898
23	92	3750
24	92	3619
25	93	3497
26	93	3384
27	94	3276
28	94	3180
29	95	3084
30	95	2997
31	96	2915
32	96	2838
33	97	2767
34	97	2699
35	98	2637
36	98	2576
37	99	2519
38	100	2464
39	100	2414
40	101	2364
41	101	2316
42	102	2273
43	102	2229
44	103	2187
45	103	2148
46	104	2111
47	104	2075
48	105	2041
49	105	2007
50	106	1975
51	106	1943
52	107	1915
53	107	1885
54	108	1859
55	108	1833
56	109	1808
57	109	1782
58	110	1760
59	110	1736
60	111	1713
61	111	1692
62	112	1671
63	112	1650
64	113	1631
65	114	1613
66	114	1594
67	115	1576
68	115	1560
69	116	1542
70	116	1527
71	117	1511
72	117	1495
73	118	1479
74	118	1463
75	119	1449
76	119	1435
77	120	1421
78	120	1408
79	121	1394
80	121	1380
81	122	1368
82	122	1353
83	123	1345
84	123	1333
85	124	1322
86	124	1310
87	125	1298
88	125	1287
89	126	1276
90	126	1265
91	127	1255
92	127	1245
93	128	1235
94	128	1226
95	129	1217
96	129	1207
97	130	1197
98	130	1188
99	131	1180
100	131	1172
101	132	1164
102	132	1156
103	133	1148
104	133	1141
105	134	1133
106	134	1125
107	135	1118
108	135	1111
109	136	1103
110	136	1096
111	137	1090
112	138	1083
113	138	1077
114	139	1070
115	139	1063
116	139	1056
117	140	1050
118	141	1044
119	141	1038
120	142	1033
121	142	1026
122	143	1020
123	143	1015
124	144	1009
125	144	1003
126	145	997
127	145	992
128	146	987
129	146	982
130	147	976
131	147	971
132	148	966
133	148	961
134	149	956
135	149	950
136	150	946
137	150	940
138	151	936
139	151	931
140	152	926
141	152	921
142	153	917
143	153	912
144	154	909
145	154	905
146	155	900
147	155	895
148	156	891
149	156	887
150	157	882
